,Irradiation_W,Price,CONSUMPTION
1763,834.42,64.6,3966.880608180241
1764,868.82,66.1,3391.244936330743
1765,802.32,64.6,4417.37809049724
1766,682.32,68.0,6782.489872661486
1767,517.97,55.6,6069.202192326237
1768,312.16,67.0,4429.891909450491
1769,106.09,100.0,5430.997425710488
1770,0.0,180.0,3416.2725742372427
1771,0.0,104.0,5831.439632214488
1772,0.0,72.0,6607.296407315986
1773,0.0,62.0,5456.0250636169885
1774,0.0,54.0,6156.798924998987
1775,0.0,56.0,4867.87557281424
1776,0.0,53.0,4267.212263058241
1777,0.0,51.8,3316.162022611243
1778,0.0,50.0,2702.9848939019944
1779,0.0,46.0,2402.6532390239945
1780,0.0,46.0,2577.8467043694945
1781,0.0,50.0,2615.3881612292444
1782,0.0,56.0,2878.178359247494
1783,25.84,62.3,2865.664540294244
1784,119.47,67.85,4179.615530385491
1785,327.02,68.0,6052.30853673935
1786,736.87,61.0,6052.30853673935
1787,763.1,56.0,7921.247397407234
1788,867.88,54.0,4780.27884014149
1789,826.11,52.6,5155.693408738989
1790,711.66,51.65,5831.439632214488
1791,540.08,52.6,4855.36175386099
1792,329.34,58.0,6632.324045222486
1793,107.37,67.4,4830.33411595449
1794,0.0,82.0,3466.3278500502424
1795,0.0,75.6,3128.4547383124936
1796,0.0,60.0,4016.9358839932415
1797,0.0,56.95,4154.587892478991
1798,0.0,50.0,4867.87557281424
1799,0.0,45.0,3954.366789226992
1800,0.0,47.45,3741.631867021742
1801,0.0,48.0,3015.830367733244
1802,0.0,47.5,3103.4271004059933
1803,0.0,43.65,2665.443437042245
1804,0.0,45.3,2677.957255995494
1805,0.0,50.0,2590.3605233227445
1806,0.0,57.0,2677.957255995494
1807,178.93,60.6,3015.830367733244
1808,400.91,65.4,2640.415799135744
1809,602.27,62.8,4567.54391793624
1810,646.32,57.0,4467.433366310241
1811,669.85,51.2,4442.405728403741
1812,867.98,51.0,4354.80899573099
1813,830.27,50.1,7032.766251726485
1814,714.79,50.0,5456.0250636169885
1815,540.57,50.9,7295.556449744734
1816,338.29,55.0,4680.1682885154905
1817,111.28,70.0,5143.179589785739
1818,0.0,85.0,6269.423295578237
1819,0.0,83.0,6795.003691614736
1820,0.0,66.0,7983.816492173484
1821,0.0,60.0,13101.968444052723
1822,0.0,53.1,6795.003691614736
1823,0.0,51.1,5981.605459653487
1824,0.0,51.0,4242.184625151742
1825,0.0,51.0,3278.620565751493
1826,0.0,50.0,2677.957255995494
1827,0.0,45.0,2415.167057977245
1828,0.0,45.3,2490.2499716967445
1829,0.0,51.0,2915.719816107244
1830,0.0,58.2,2953.2612729669936
